paper_id,ok,word_count,math_equation_references,math_greek_letters,math_math_symbols,math_total_math_indicators,stat_p_value,stat_confidence_interval,stat_significance,stat_cohens_d,stat_total_statistical,code_github_links,code_code_available_mentions,code_has_code_link,fig_figure_count,fig_unique_figures,table_table_count,table_unique_tables,comp_vs_mentions,comp_compared_to,comp_outperforms,comp_total_comparisons,dataset_dataset_mentions,dataset_unique_known_datasets,dataset_known_datasets,contrib_has_contributions_statement,contrib_bullet_points_in_intro,limit_has_limitations_section,limit_limitation_mentions,ablation_ablation_mentions,ablation_ablation_study,runs_runs_mentions,runs_seeds_mentions,runs_averaged_over,runs_total_reproducibility_indicators,error_std_mentions,error_plus_minus_symbols,error_error_bars,error_variance_mentions,error_total_error_reporting,readability_flesch_reading_ease,readability_flesch_kincaid_grade,hype_state_of_the_art,hype_revolutionary,hype_significant_improvement,hype_novel,hype_total_hype_words,metrics_unique_metrics_count,metrics_total_metric_mentions,metrics_metrics_found
11026002.pdf,True,8716,10,5,0,15,0,0,5,0,5,6,0,True,22,2,17,2,0,13,3,16,1,0,[],False,0,False,2,0,0,5,0,0,5,3,0,0,0,3,37.93,10.42,2,0,1,0,3,0,0,[]
10935309.pdf,True,24847,18,0,3,21,0,0,17,0,17,1,0,True,27,1,34,2,0,8,15,23,122,0,[],False,0,False,8,0,0,0,3,1,4,0,0,0,2,2,42.69,9.06,12,0,5,34,51,14,184,"['accuracy', 'precision', 'recall', 'f1', 'f-score', 'auc', 'roc', 'mse', 'mae', 'map', 'bleu', 'rouge', 'loss', 'error rate']"
11014092.pdf,True,10125,21,1,14,36,0,0,9,0,9,0,0,False,19,1,22,2,4,10,4,18,17,0,[],True,0,False,2,0,0,0,1,0,1,2,0,0,3,5,46.56,8.63,2,0,1,3,6,7,70,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'rmse', 'loss']"
11088079.pdf,True,24636,20,2,31,53,0,1,20,0,21,0,0,False,4,1,15,2,4,6,12,22,77,3,"['imagenet', 'places', 'kinetics']",False,0,False,6,5,0,0,2,0,2,4,8,0,3,15,34.11,10.39,7,0,7,4,18,9,132,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'roc', 'iou', 'map', 'loss']"
11087487.pdf,True,7232,20,0,29,49,0,0,2,0,2,0,0,False,14,2,12,2,0,1,4,5,48,0,[],False,0,False,5,0,0,0,55,0,55,0,0,0,0,0,41.37,9.39,0,1,0,3,4,7,49,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'roc', 'map']"
11270868.pdf,True,15491,29,0,38,67,0,0,4,0,4,0,0,False,54,2,12,2,0,0,0,0,8,1,['places'],False,0,False,2,0,0,0,0,0,0,0,0,0,0,0,42.55,9.57,0,0,1,1,2,3,8,"['accuracy', 'rmse', 'map']"
10973077.pdf,True,7294,39,0,12,51,0,0,1,0,1,1,0,True,42,2,23,2,0,2,0,2,5,1,['imagenet'],False,0,False,1,0,0,0,0,0,0,0,1,0,0,1,50.19,8.27,1,0,1,8,10,5,29,"['accuracy', 'f1', 'rmse', 'r2', 'loss']"
11131138.pdf,True,8174,17,0,8,25,0,0,7,0,7,0,0,False,19,1,6,2,1,3,4,8,12,0,[],False,0,False,9,7,3,0,0,0,0,0,0,0,0,0,29.19,11.5,7,1,4,4,16,3,10,"['accuracy', 'map', 'loss']"
11052247.pdf,True,8736,24,0,17,41,0,0,3,0,3,0,0,False,9,1,7,2,0,4,1,5,27,1,['imagenet'],False,0,False,3,6,3,0,0,0,0,0,0,0,1,1,34.2,11.29,3,1,3,5,12,5,65,"['accuracy', 'precision', 'map', 'bleu', 'loss']"
11124889.pdf,True,21004,27,1,9,37,0,0,28,0,28,0,0,False,14,1,20,2,1,6,1,8,190,0,[],False,0,False,17,0,0,0,0,0,0,0,0,0,1,1,41.86,9.16,8,0,0,5,13,9,134,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'roc', 'map', 'loss', 'error rate']"
11192317.pdf,True,12858,14,0,23,37,2,0,32,0,34,0,0,False,40,1,28,2,7,13,5,25,170,0,[],False,0,False,7,0,0,3,0,0,3,0,5,0,2,7,38.74,10.45,4,0,3,5,12,2,23,"['accuracy', 'loss']"
11244801.pdf,True,12284,53,1,17,71,0,0,1,0,1,0,0,False,40,2,20,2,0,2,2,4,1,0,[],False,0,False,2,3,0,0,0,0,0,1,0,0,2,3,61.25,6.83,6,0,0,2,8,3,18,"['mse', 'map', 'loss']"
10973056.pdf,True,15909,2,1,4,7,0,0,32,0,32,0,0,False,16,1,11,2,0,5,1,6,10,0,[],True,0,False,6,0,0,0,0,0,0,0,0,0,0,0,22.05,12.79,5,2,6,5,18,2,13,"['accuracy', 'precision']"
11098780.pdf,True,13607,8,1,23,32,0,0,6,0,6,0,0,False,11,2,61,2,1,1,0,2,75,0,[],False,0,False,3,0,0,0,0,0,0,10,2,0,7,19,36.8,10.19,3,0,0,5,8,9,63,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'roc', 'rmse', 'mse', 'map']"
11075676.pdf,True,18205,11,1,7,19,0,0,17,0,17,0,0,False,24,1,28,2,0,1,4,5,47,0,[],False,0,False,12,0,0,0,1,0,1,0,0,0,0,0,43.83,8.84,5,0,2,14,21,9,97,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'roc', 'rmse', 'mse', 'mae']"
11240179.pdf,True,10680,0,0,2,2,0,0,11,0,11,4,0,True,5,1,45,2,5,16,7,28,75,2,"['places', 'squad']",False,0,False,0,0,0,2,0,0,2,0,0,0,0,0,46.1,9.36,4,0,3,0,7,6,102,"['accuracy', 'precision', 'recall', 'f1', 'map', 'loss']"
11053806.pdf,True,15062,66,1,37,104,0,0,10,0,10,0,0,False,21,1,29,2,1,5,1,7,5,0,[],False,0,False,4,0,0,3,0,1,4,0,0,0,2,2,46.04,9.71,1,0,2,3,6,6,18,"['accuracy', 'mse', 'mae', 'r2', 'map', 'loss']"
11003092.pdf,True,15031,29,0,19,48,0,0,13,0,13,2,0,True,30,2,11,2,0,13,4,17,43,1,['imagenet'],False,0,False,5,7,6,0,0,0,0,0,0,0,0,0,46.4,9.13,3,0,2,4,9,6,92,"['accuracy', 'f1', 'rmse', 'mae', 'map', 'loss']"
11237111.pdf,True,7631,24,0,9,33,0,0,3,0,3,0,0,False,28,1,7,2,0,0,1,1,26,0,[],False,0,False,3,0,0,0,0,0,0,2,2,0,3,7,29.85,11.51,0,0,0,6,6,2,9,"['accuracy', 'loss']"
11181063.pdf,True,13513,2,0,10,12,0,0,5,0,5,0,0,False,16,1,18,2,2,2,0,4,24,0,[],False,0,False,3,2,0,0,1,0,1,1,2,0,5,8,26.31,12.49,3,0,0,6,9,7,93,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'roc', 'loss']"
11082132.pdf,True,7840,4,0,6,10,0,0,0,0,0,2,0,True,9,1,18,2,1,4,5,10,68,0,[],True,0,False,3,0,0,1,0,0,1,0,1,0,0,1,40.23,9.85,2,0,0,0,2,7,29,"['accuracy', 'precision', 'recall', 'f1', 'r2', 'map', 'loss']"
11311451.pdf,True,21372,42,3,0,45,0,0,5,0,5,0,0,False,23,1,15,2,0,1,0,1,13,1,['places'],True,0,False,0,0,0,1,1,0,2,0,0,0,0,0,30.16,10.9,2,0,0,3,5,2,4,"['accuracy', 'map']"
11059882.pdf,True,7466,38,0,35,73,0,0,1,0,1,0,0,False,15,2,6,2,0,2,5,7,0,0,[],False,0,False,5,3,2,0,0,0,0,0,0,0,0,0,60.75,7.67,2,0,0,0,2,2,2,"['map', 'loss']"
11068995.pdf,True,16425,1,3,0,4,3,0,63,0,66,0,0,False,12,2,33,2,0,1,0,1,4,1,['places'],False,0,False,5,0,0,3,0,0,3,0,0,0,5,5,40.56,10.09,0,0,0,0,0,2,6,"['r2', 'loss']"
11003960.pdf,True,8122,13,0,12,25,0,0,6,0,6,0,0,False,23,1,12,2,0,3,2,5,36,0,[],False,0,False,6,0,0,0,0,0,0,0,0,0,0,0,37.6,9.93,2,0,1,1,4,6,59,"['accuracy', 'precision', 'recall', 'f1', 'map', 'loss']"
11244909.pdf,True,13898,9,0,29,38,0,1,0,0,1,0,0,False,34,2,4,2,0,2,2,4,50,0,[],True,0,False,8,8,0,13,1,0,14,8,16,1,9,34,16.78,13.63,1,0,1,3,5,5,99,"['accuracy', 'precision', 'f1', 'map', 'loss']"
11177257.pdf,True,15728,8,7,2,17,0,0,4,0,4,0,0,False,6,2,10,2,0,4,2,6,34,0,[],False,0,False,9,1,0,0,0,0,0,0,0,0,0,0,32.86,10.09,1,1,1,4,7,6,31,"['accuracy', 'precision', 'recall', 'f1', 'map', 'loss']"
11108173.pdf,True,12826,11,0,2,13,0,0,1,0,1,0,0,False,48,2,4,2,1,1,0,2,4,1,['coco'],False,0,False,7,0,0,0,11,0,11,0,0,0,0,0,33.16,11.76,0,0,0,20,20,2,6,"['accuracy', 'precision']"
11097326.pdf,True,19925,45,0,9,54,0,0,18,0,18,0,0,False,25,1,4,2,0,11,12,23,45,4,"['imagenet', 'pascal voc', 'kitti', 'places']",False,0,False,9,0,0,0,0,0,0,0,0,0,1,1,33.56,10.96,1,0,7,7,15,6,257,"['accuracy', 'precision', 'recall', 'iou', 'map', 'loss']"
11242165.pdf,True,14272,19,0,21,40,0,0,4,0,4,1,0,True,32,2,12,2,0,15,9,24,24,0,[],False,0,False,5,0,0,2,0,0,2,2,0,0,1,3,51.41,7.69,2,0,5,2,9,12,101,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'roc', 'mse', 'mae', 'r2', 'map', 'loss', 'error rate']"
11091290.pdf,True,12758,0,0,2,2,0,0,6,0,6,0,0,False,38,1,30,2,1,5,2,8,197,0,[],False,0,False,8,0,0,0,1,0,1,0,0,0,0,0,33.73,11.08,3,0,3,1,7,6,70,"['accuracy', 'precision', 'recall', 'f1', 'roc', 'loss']"
11105380.pdf,True,15934,2,0,0,2,0,0,10,0,10,0,0,False,38,1,25,2,0,0,0,0,2,0,[],False,0,False,5,0,0,1,0,0,1,0,0,0,1,1,46.05,8.56,1,1,2,1,5,2,6,"['accuracy', 'map']"
10982068.pdf,True,13645,26,0,22,48,1,0,39,0,40,0,0,False,7,2,13,2,12,6,0,18,5,0,[],False,0,False,2,0,0,0,0,0,0,0,0,0,1,1,50.19,8.29,0,0,0,1,1,1,1,['accuracy']
11105392.pdf,True,8797,25,0,14,39,0,0,3,0,3,0,0,False,14,2,14,2,1,0,2,3,35,0,[],False,0,False,2,11,3,0,0,0,0,0,0,0,2,2,36.01,10.41,5,0,0,6,11,6,116,"['accuracy', 'precision', 'recall', 'f1', 'map', 'loss']"
10988780.pdf,True,10224,14,0,5,19,0,0,4,0,4,0,0,False,18,2,27,2,1,4,2,7,19,0,[],False,0,False,1,0,0,0,0,0,0,0,1,0,1,2,40.06,10.12,1,0,1,0,2,8,53,"['accuracy', 'precision', 'recall', 'f1', 'rmse', 'mse', 'mae', 'r2']"
11199036.pdf,True,12386,23,0,1,24,0,0,11,0,11,0,0,False,4,1,13,2,0,0,0,0,0,1,['places'],False,0,False,2,0,0,0,0,0,0,0,0,0,0,0,41.42,9.62,0,0,2,0,2,0,0,[]
11058926.pdf,True,12191,15,1,14,30,0,0,2,0,2,4,0,True,16,1,27,2,0,8,5,13,19,0,[],False,0,False,2,5,1,0,0,0,0,10,0,0,2,12,53.08,7.79,5,0,0,3,8,8,54,"['accuracy', 'precision', 'recall', 'f1', 'rmse', 'mse', 'r2', 'loss']"
11303065.pdf,True,8703,78,1,48,127,0,0,0,0,0,0,0,False,4,2,14,2,0,1,1,2,4,2,"['kitti', 'places']",True,0,False,3,5,0,1,0,0,1,0,0,0,0,0,55.93,7.3,1,0,0,0,1,5,33,"['accuracy', 'precision', 'iou', 'map', 'loss']"
11030452.pdf,True,12074,58,0,22,80,0,1,2,0,3,0,0,False,27,2,6,2,0,2,2,4,7,0,[],False,0,False,5,0,0,4,0,0,4,3,3,1,0,7,52.66,8.06,1,0,2,1,4,2,4,"['accuracy', 'map']"
11165335.pdf,True,9530,3,0,6,9,0,0,13,0,13,0,0,False,6,1,15,2,1,13,5,19,103,1,['imagenet'],False,0,False,2,0,0,1,0,0,1,4,2,0,1,7,39.48,9.87,2,0,4,0,6,8,70,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'roc', 'map', 'loss']"
11082130.pdf,True,12393,9,0,16,25,0,0,7,0,7,0,0,False,2,1,9,2,4,2,1,7,0,0,[],False,0,False,16,0,0,1,0,0,1,0,0,0,0,0,34.88,11.2,0,0,1,0,1,2,8,"['accuracy', 'precision']"
11044323.pdf,True,11080,15,2,4,21,0,0,2,0,2,1,0,True,16,2,16,2,0,14,3,17,78,2,"['imagenet', 'mnist']",True,0,False,1,0,0,4,0,0,4,4,0,0,1,5,41.06,9.54,0,0,0,5,5,6,133,"['accuracy', 'precision', 'recall', 'f1', 'map', 'loss']"
11123437.pdf,True,9453,9,5,3,17,0,0,3,0,3,0,0,False,9,1,11,2,0,0,3,3,7,1,['imagenet'],False,0,False,3,2,1,2,0,0,2,1,0,0,0,1,34.24,10.22,3,0,0,3,6,8,42,"['accuracy', 'precision', 'f1', 'auc', 'roc', 'rmse', 'map', 'loss']"
11106429.pdf,True,11917,33,0,21,54,0,0,6,0,6,0,0,False,9,2,19,2,2,5,5,12,26,1,['imagenet'],False,2,False,5,6,5,1,1,0,2,1,6,0,3,10,37.52,10.05,0,0,0,3,3,7,48,"['accuracy', 'precision', 'recall', 'f1', 'map', 'loss', 'error rate']"
10993381.pdf,True,8279,24,0,15,39,0,0,3,0,3,0,0,False,22,2,20,2,0,1,3,4,42,0,[],False,0,False,2,6,0,0,0,0,0,0,0,0,0,0,45.59,8.66,6,0,3,6,15,4,44,"['accuracy', 'recall', 'map', 'loss']"
11275682.pdf,True,8887,30,0,17,47,0,0,3,0,3,0,0,False,32,2,11,2,1,7,2,10,5,0,[],False,0,False,5,0,0,0,0,0,0,0,0,0,0,0,52.74,8.49,0,0,1,5,6,1,6,['accuracy']
Machine_Learning_Adoption_in_Blockchain-Based_Smart_Applications_The_Challenges_and_a_Way_Forward.pdf,True,11511,0,0,1,1,0,0,0,0,0,0,0,False,14,1,6,2,1,2,0,3,6,0,[],False,0,False,0,0,0,3,0,0,3,0,0,0,0,0,48.34,8.54,1,0,0,1,2,2,7,"['accuracy', 'map']"
11202462.pdf,True,8544,2,0,7,9,0,0,6,0,6,0,0,False,10,1,18,2,0,5,0,5,17,0,[],False,0,False,5,0,0,0,0,0,0,2,2,0,0,4,45.9,8.59,0,0,3,1,4,4,40,"['accuracy', 'precision', 'recall', 'f1']"
11303740.pdf,True,13058,16,0,2,18,0,0,2,0,2,0,0,False,19,1,16,2,2,1,0,3,4,0,[],False,0,False,10,0,0,1,0,0,1,1,0,0,0,1,30.48,10.95,0,0,0,2,2,4,7,"['accuracy', 'recall', 'f1', 'map']"
11165035.pdf,True,14218,23,0,15,38,0,2,7,0,9,0,0,False,52,1,20,2,2,4,0,6,3,0,[],False,0,False,5,0,0,8,2,0,10,0,0,5,7,12,45.13,9.27,0,0,2,0,2,6,26,"['accuracy', 'precision', 'mse', 'r2', 'r-squared', 'loss']"
11205352.pdf,True,9502,20,0,13,33,0,0,8,0,8,1,0,True,33,2,1,1,1,1,1,3,0,1,['kinetics'],False,0,False,9,5,3,5,1,0,6,2,6,0,0,8,29.95,11.25,0,1,0,2,3,4,40,"['accuracy', 'precision', 'map', 'loss']"
11269827.pdf,True,9596,35,1,14,50,0,0,5,0,5,1,0,True,17,1,17,2,0,3,5,8,14,0,[],True,0,False,0,3,0,1,0,0,1,0,0,0,0,0,40.31,9.84,0,0,10,2,12,7,95,"['accuracy', 'precision', 'recall', 'f1', 'iou', 'map', 'loss']"
10955210.pdf,True,9765,16,2,13,31,0,0,12,0,12,1,0,True,14,2,2,2,0,1,0,1,7,1,['coco'],False,0,False,0,0,0,1,0,0,1,1,0,0,0,1,37.1,10.82,1,0,3,3,7,7,32,"['accuracy', 'precision', 'recall', 'f1', 'iou', 'map', 'loss']"
11298201.pdf,True,10504,25,0,16,41,0,0,4,0,4,0,0,False,51,2,14,2,5,1,4,10,1,0,[],False,0,False,8,4,1,0,0,0,0,1,1,0,0,2,35.38,11.47,0,0,1,3,4,5,20,"['accuracy', 'precision', 'rmse', 'mae', 'map']"
11164277.pdf,True,9424,4,0,3,7,0,0,6,0,6,0,0,False,21,1,9,2,0,2,2,4,7,0,[],False,0,False,4,3,3,0,0,0,0,0,2,0,0,2,28.37,11.93,0,0,1,2,3,3,8,"['accuracy', 'map', 'loss']"
11208573.pdf,True,9816,17,0,13,30,0,0,3,0,3,1,0,True,22,1,7,2,1,2,0,3,19,0,[],False,0,False,4,0,0,0,0,0,0,0,2,0,1,3,37.68,9.98,5,0,0,3,8,7,71,"['accuracy', 'precision', 'recall', 'f1', 'iou', 'map', 'loss']"
11127024.pdf,True,10735,8,0,3,11,7,0,35,0,42,1,0,True,18,1,40,2,0,13,22,35,56,0,[],False,0,False,1,0,0,5,0,0,5,2,0,0,0,2,52.22,8.7,1,0,4,6,11,2,2,"['recall', 'loss']"
10960408.pdf,True,14274,10,0,6,16,0,0,10,0,10,0,0,False,16,1,17,2,1,9,10,20,32,0,[],False,0,False,7,0,0,0,6,0,6,0,2,0,0,2,26.91,12.63,1,1,5,2,9,7,167,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'roc', 'loss']"
10946995.pdf,True,9901,0,0,4,4,0,0,4,0,4,0,0,False,38,2,15,2,8,3,7,18,102,1,['imagenet'],False,0,False,1,1,1,0,0,0,0,0,0,0,1,1,40.35,9.62,4,0,1,2,7,7,155,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'map', 'loss']"
11072142.pdf,True,13551,83,0,140,223,0,0,5,0,5,0,0,False,18,1,14,2,9,4,4,17,52,3,"['imagenet', 'coco', 'pascal voc']",False,0,False,12,3,2,1,0,0,1,6,5,0,6,17,41.2,10.1,2,0,1,1,4,3,37,"['accuracy', 'map', 'loss']"
11168202.pdf,True,14457,6,0,4,10,0,1,35,0,36,0,0,False,32,1,37,2,4,5,0,9,27,0,[],False,0,False,5,0,0,0,0,0,0,0,0,0,10,10,26.44,11.97,2,0,0,0,2,2,5,"['r2', 'loss']"
10975145.pdf,True,14786,24,1,27,52,0,0,7,0,7,0,0,False,4,1,3,2,0,2,0,2,0,1,['places'],False,0,False,6,0,0,15,0,0,15,0,0,0,0,0,44.57,10.29,0,0,0,2,2,1,7,['recall']
11296757.pdf,True,12102,11,0,2,13,0,0,2,0,2,0,0,False,55,2,36,2,1,0,2,3,113,0,[],False,0,False,7,0,0,3,0,0,3,0,0,0,0,0,56.91,7.23,2,0,0,5,7,6,164,"['accuracy', 'precision', 'recall', 'f1', 'map', 'loss']"
11015495.pdf,True,16004,14,0,16,30,0,0,15,0,15,1,0,True,42,1,11,1,0,4,8,12,57,1,['places'],False,0,False,7,0,0,0,0,0,0,13,0,0,22,35,26.64,12.07,0,0,2,1,3,10,132,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'roc', 'rmse', 'mse', 'map', 'loss']"
11131186.pdf,True,8451,11,0,27,38,0,0,2,0,2,0,0,False,18,2,14,2,0,3,5,8,56,1,['imagenet'],True,0,False,6,3,3,1,1,0,2,0,0,0,0,0,39.5,9.59,1,0,1,2,4,5,39,"['accuracy', 'precision', 'f1', 'map', 'loss']"
10994435.pdf,True,15509,41,3,14,58,0,0,17,0,17,0,0,False,35,2,9,2,1,4,1,6,31,0,[],False,0,False,3,0,0,0,0,0,0,3,0,0,3,6,49.55,7.9,0,0,1,1,2,7,78,"['accuracy', 'precision', 'recall', 'f1', 'roc', 'map', 'loss']"
11305041.pdf,True,9294,27,5,48,80,0,0,7,0,7,1,0,True,8,2,16,2,1,1,4,6,68,0,[],False,0,False,3,10,4,4,0,0,4,0,0,0,1,1,56.74,7.06,6,0,1,2,9,5,34,"['accuracy', 'precision', 'f1', 'map', 'loss']"
11203915.pdf,True,11111,3,4,3,10,0,0,18,0,18,0,0,False,7,1,24,2,0,1,0,1,0,0,[],False,0,False,2,0,0,0,0,0,0,0,0,0,8,8,52.23,7.31,0,0,0,1,1,2,3,"['r2', 'map']"
10990222.pdf,True,7891,4,1,2,7,0,0,1,0,1,0,0,False,18,1,17,2,5,1,3,9,38,0,[],False,0,False,1,0,0,1,0,0,1,0,0,0,0,0,45.09,9.29,1,0,0,1,2,5,72,"['accuracy', 'precision', 'recall', 'f1', 'loss']"
11177194.pdf,True,6711,6,0,16,22,0,0,2,0,2,0,0,False,18,1,4,2,3,5,0,8,0,0,[],True,0,False,2,3,0,0,0,0,0,1,0,0,3,4,17.71,13.49,2,0,1,1,4,5,10,"['accuracy', 'rmse', 'map', 'loss', 'error rate']"
11204020.pdf,True,25257,0,0,3,3,0,0,11,0,11,0,0,False,13,1,32,2,3,7,5,15,67,1,['kinetics'],True,0,False,9,0,0,0,0,0,0,0,0,0,0,0,27.87,11.6,1,0,1,8,10,10,47,"['accuracy', 'precision', 'recall', 'f1', 'rmse', 'mae', 'map', 'bleu', 'perplexity', 'loss']"
11271427.pdf,True,11833,1,0,4,5,5,0,12,0,17,3,0,True,25,1,0,0,0,9,9,18,57,0,[],False,0,False,1,0,0,0,0,0,0,0,0,0,0,0,35.19,11.06,0,0,3,0,3,7,61,"['accuracy', 'precision', 'recall', 'f1', 'roc', 'map', 'loss']"
11216336.pdf,True,10132,45,0,11,56,0,0,6,0,6,0,0,False,16,1,14,2,0,6,3,9,38,0,[],False,0,False,5,3,1,0,3,0,3,1,0,0,4,5,23.08,13.07,3,0,1,6,10,8,44,"['accuracy', 'precision', 'f1', 'rmse', 'mse', 'mae', 'r2', 'loss']"
10945355.pdf,True,7891,9,0,12,21,0,0,5,0,5,0,0,False,11,1,4,2,1,4,4,9,10,0,[],False,0,False,3,4,1,0,0,0,0,0,0,0,4,4,47.67,8.63,2,0,1,2,5,4,27,"['accuracy', 'mse', 'map', 'loss']"
